date,avg_SDS_P1,avg_SDS_P2,samples
2026-01-01,75.58,35.42,592
2026-01-02,89.25,40.66,591
2026-01-03,72.88,29.91,592
2026-01-04,41.31,20.39,592
2026-01-05,29.88,12.97,592
2026-01-06,34.77,14.5,579
2026-01-07,34.18,17.57,592
2026-01-08,40.78,20.84,592
2026-01-09,68.0,34.1,590
2026-01-10,55.42,25.42,592
2026-01-11,10.42,5.19,588
2026-01-12,18.24,9.9,591
2026-01-13,39.94,21.3,592
2026-01-14,55.16,32.36,592
2026-01-15,104.65,53.78,592
2026-01-16,108.35,52.35,592
2026-01-17,95.65,43.09,592
2026-01-18,39.86,21.33,592
2026-01-19,25.21,13.08,592
2026-01-20,39.99,19.2,579
2026-01-21,54.52,26.54,592
2026-01-22,80.92,37.28,592
2026-01-23,72.61,33.61,592
2026-01-24,47.75,25.8,590
2026-01-25,36.91,18.8,592
2026-01-26,26.22,13.98,588
2026-01-27,22.99,13.48,592
2026-01-28,18.06,8.39,592
2026-01-29,54.66,22.19,592
2026-01-30,50.85,23.94,592
2026-01-31,75.89,30.72,591
2026-02-01,69.71,28.17,592
2026-02-02,63.06,30.94,592
2026-02-03,27.39,14.62,592
2026-02-04,17.2,9.72,584
2026-02-05,26.01,14.59,592
2026-02-06,16.07,9.42,592
2026-02-07,20.87,13.04,590
2026-02-08,50.95,27.33,592
2026-02-09,32.14,17.56,592
2026-02-10,34.86,19.43,583
2026-02-11,24.63,14.7,592
2026-02-12,36.42,20.2,592
2026-02-13,17.51,9.47,591
2026-02-14,13.46,8.33,592
2026-02-15,17.86,9.85,588
2026-02-16,9.98,5.66,590
2026-02-17,3.7,1.76,590
2026-02-18,7.43,3.9,589
2026-02-19,15.35,9.58,592
2026-02-20,15.19,9.31,591
2026-02-21,16.48,9.05,592
2026-02-22,46.45,26.86,590
2026-02-23,61.5,34.35,591
2026-02-24,69.13,37.1,591
2026-02-25,63.58,31.57,592
2026-02-26,47.62,25.24,590
2026-02-27,59.38,31.93,588
2026-02-28,37.96,21.42,585
2026-03-01,90.49,39.13,590
2026-03-02,77.21,33.53,591
2026-03-03,54.54,27.94,592
2026-03-04,73.65,36.24,591
2026-03-05,110.56,42.95,589
2026-03-06,88.69,37.73,591
2026-03-07,61.29,28.31,590
2026-03-08,42.95,22.61,591
2026-03-09,44.15,23.9,591
2026-03-10,81.47,38.94,590
2026-03-11,91.77,42.01,589
