date,avg_SDS_P1,avg_SDS_P2,samples
2023-01-01,103.81,58.52,570
2023-01-02,111.29,56.47,560
2023-01-03,45.3,28.82,540
2023-01-04,37.77,22.19,555
2023-01-05,49.1,17.79,557
2023-01-06,63.95,29.54,562
2023-01-07,44.31,21.09,564
2023-01-08,40.76,20.53,572
2023-01-09,9.97,6.38,557
2023-01-10,4.21,2.14,566
2023-01-11,12.78,6.94,545
2023-01-12,29.28,16.21,541
2023-01-13,40.02,23.39,536
2023-01-14,32.16,18.74,546
2023-01-15,64.11,35.92,523
2023-01-16,50.01,24.05,495
2023-01-17,40.41,19.01,528
2023-01-18,53.22,25.58,546
2023-01-19,23.47,10.73,574
2023-01-20,22.7,13.21,567
2023-01-21,4.77,2.6,564
2023-01-22,14.12,8.42,575
2023-01-23,26.95,14.75,560
2023-01-24,19.53,11.67,553
2023-01-25,44.33,23.04,571
2023-01-26,32.81,16.91,556
2023-01-27,26.32,12.88,555
2023-01-28,39.62,19.15,561
2023-01-29,40.06,20.43,560
2023-01-30,39.58,18.64,562
2023-01-31,77.07,38.9,548
2023-02-01,23.98,12.02,561
2023-02-02,11.02,5.42,556
2023-02-03,22.0,11.56,559
2023-02-04,31.27,14.37,581
2023-02-05,10.52,4.08,567
2023-02-06,11.56,5.71,574
2023-02-07,23.98,12.59,572
2023-02-08,29.57,15.08,565
2023-02-09,26.26,12.86,566
2023-02-10,48.68,23.53,576
2023-02-11,42.6,21.88,566
2023-02-12,43.91,24.51,565
2023-02-13,52.33,27.47,553
2023-02-14,59.59,29.64,560
2023-02-15,58.46,27.5,547
2023-02-16,34.07,18.36,552
2023-02-17,28.48,17.31,572
2023-02-18,25.51,15.12,575
2023-02-19,42.88,22.68,563
2023-02-20,104.43,46.96,514
2023-02-21,66.0,31.57,514
2023-02-22,119.16,55.69,568
2023-02-23,107.35,52.6,541
2023-02-24,93.91,45.35,559
2023-02-25,38.15,19.06,562
2023-02-26,14.45,7.12,568
2023-02-27,12.92,8.3,564
2023-02-28,30.18,17.23,572
2023-03-01,38.84,20.93,575
2023-03-02,49.29,26.52,581
2023-03-03,44.21,24.21,549
2023-03-04,51.27,29.19,575
2023-03-05,45.75,25.01,576
2023-03-06,27.6,14.58,574
2023-03-07,24.51,12.14,573
2023-03-08,19.07,9.94,581
2023-03-09,26.39,15.02,580
2023-03-10,22.76,12.06,577
2023-03-11,6.88,3.44,576
2023-03-12,15.1,7.18,576
2023-03-13,19.42,10.78,576
2023-03-14,24.85,15.6,577
2023-03-15,2.82,1.52,581
2023-03-16,7.5,3.88,572
2023-03-17,15.83,8.81,578
2023-03-18,37.83,22.21,570
2023-03-19,35.86,21.49,572
2023-03-20,51.97,32.32,572
2023-03-21,64.74,37.65,572
2023-03-22,46.48,26.05,572
2023-03-23,14.51,8.43,569
2023-03-24,7.32,3.63,571
2023-03-25,6.58,3.29,570
2023-03-26,12.22,7.43,555
2023-03-27,2.27,1.07,568
2023-03-28,3.55,1.65,569
2023-03-29,7.18,2.51,574
2023-03-30,13.63,6.99,569
2023-03-31,13.44,6.46,570
2023-04-01,6.85,4.2,531
2023-04-02,10.02,5.89,557
2023-04-03,6.09,2.91,576
2023-04-04,8.68,3.75,585
2023-04-05,10.9,6.07,581
2023-04-06,17.48,9.53,590
2023-04-07,27.19,15.53,587
2023-04-08,25.0,15.47,588
2023-04-09,12.64,8.38,585
2023-04-10,7.33,4.71,586
2023-04-11,11.84,6.79,588
2023-04-12,24.36,14.17,577
2023-04-13,19.12,11.29,587
2023-04-14,4.45,2.48,586
2023-04-15,6.41,3.82,589
2023-04-16,7.78,4.49,590
2023-04-17,5.86,3.3,587
2023-04-18,10.43,5.43,587
2023-04-19,10.76,6.28,589
2023-04-20,9.01,5.73,590
2023-04-21,6.55,3.76,590
2023-04-22,9.65,6.59,587
2023-04-23,16.15,11.31,586
2023-04-24,3.49,1.66,587
2023-04-25,4.33,2.57,589
2023-04-26,5.13,2.79,587
2023-04-27,17.67,8.43,589
2023-04-28,12.28,6.39,588
2023-04-29,16.11,10.97,587
2023-04-30,19.02,12.92,586
2023-05-01,8.7,6.18,586
2023-05-02,7.79,5.39,585
2023-05-03,6.84,4.94,588
2023-05-04,10.02,7.02,588
2023-05-05,20.74,14.78,585
2023-05-06,15.51,10.91,588
2023-05-07,3.92,2.35,589
2023-05-08,10.14,7.3,582
2023-05-09,14.09,9.9,584
2023-05-10,10.98,7.98,585
2023-05-11,17.34,11.3,586
2023-05-12,4.81,2.94,589
2023-05-13,4.81,2.66,587
2023-05-14,3.99,2.44,589
2023-05-15,7.88,5.53,587
2023-05-16,8.01,5.3,588
2023-05-17,12.55,8.36,585
2023-05-18,8.25,5.04,585
2023-05-19,19.53,12.34,587
2023-05-20,8.91,5.64,589
2023-05-21,7.37,5.12,587
2023-05-22,10.02,6.8,587
2023-05-23,10.34,7.02,586
2023-05-24,12.7,8.42,588
2023-05-25,5.41,3.11,588
2023-05-26,8.89,4.96,589
2023-05-27,15.78,10.83,586
2023-05-28,16.04,10.6,588
2023-05-29,10.11,6.55,586
2023-05-30,11.77,7.07,586
2023-05-31,9.92,5.96,587
2023-06-01,9.7,5.98,586
2023-06-02,7.9,5.08,588
2023-06-03,8.0,5.84,584
2023-06-04,9.28,6.7,589
2023-06-05,9.49,6.7,587
2023-06-06,15.57,11.2,584
2023-06-07,11.9,8.48,587
2023-06-08,7.91,5.45,586
2023-06-09,11.36,8.03,587
2023-06-10,9.9,6.28,586
2023-06-11,9.38,6.64,588
2023-06-12,6.28,4.36,587
2023-06-13,10.36,7.39,586
2023-06-14,12.15,8.36,587
2023-06-15,10.6,7.4,588
2023-06-16,10.89,7.24,587
2023-06-17,10.13,6.38,583
2023-06-18,8.74,6.16,574
2023-06-19,10.7,7.65,590
2023-06-20,7.79,4.81,585
2023-06-21,10.16,5.44,585
2023-06-22,14.63,7.25,588
2023-06-23,8.37,4.53,584
2023-06-24,5.95,3.07,587
2023-06-25,4.22,2.09,590
2023-06-26,8.31,4.48,587
2023-06-27,11.0,6.67,590
2023-06-28,10.01,5.89,590
2023-06-29,7.13,3.24,590
2023-06-30,15.57,11.24,590
2023-07-01,15.53,10.69,584
2023-07-02,12.81,9.69,588
2023-07-03,8.23,4.7,582
2023-07-04,7.63,4.6,581
2023-07-05,6.04,3.23,581
2023-07-06,7.25,3.86,576
2023-07-07,6.0,2.95,571
2023-07-08,7.88,4.27,579
2023-07-09,8.54,5.28,576
2023-07-10,11.64,6.88,573
2023-07-11,13.96,8.0,575
2023-07-12,7.93,3.12,579
2023-07-13,5.8,2.48,579
2023-07-14,6.51,3.27,569
2023-07-15,8.28,4.52,589
2023-07-16,10.58,6.22,590
2023-07-17,11.95,5.89,590
2023-07-18,16.81,10.21,588
2023-07-19,16.4,9.6,590
2023-07-20,13.66,7.5,585
2023-07-21,9.62,5.42,589
2023-07-22,9.09,5.42,590
2023-07-23,12.81,8.1,589
